qseqid,abundance,best_target_source_id,target_pident,target_length,target_bitscore,matched_primers,matched_primer_targets,n_primers_matched
M03520:605:000000000-LVNKY:1:1101:15781:1350,10890,A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb,99.286,140,254,RH.B5A2E3C1CC8E44AZ0Z_F; RH.B5A2E3C1CC8E44AZ0Z_R,RH.B5A2E3C1CC8E44AZ0Z,2
M03520:605:000000000-LVNKY:1:1102:15709:16696,10821,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,100,115,213,RH.2AFFFBA0E81C482Z0Z_R; RH.2AFFFBA0E81C482Z0Z_F,RH.2AFFFBA0E81C482Z0Z,2
M03520:605:000000000-LVNKY:1:1101:6124:11183,10569,A00405_539_HLLNCDSX3_4_2307_13196_28291_1_273_+_08c022a9cdf0c7266ffcd5bb231ae69a,97.351,151,257,RH.E04EE94198274F7Z0Z_F; RH.E04EE94198274F7Z0Z_R,RH.E04EE94198274F7Z0Z,2
M03520:605:000000000-LVNKY:1:1109:8908:5121,10556,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
M03520:605:000000000-LVNKY:1:1101:15405:3291,10524,A00405_539_HLLNCDSX3_4_2562_31548_9627_1_293_+_204cc0636a899ba3f5ce647fe945e729,98.675,151,268,RH.5F6424ABBC3C47BZ0Z_F,RH.5F6424ABBC3C47BZ0Z,1
M03520:605:000000000-LVNKY:1:1103:5049:9335,10156,A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,99.338,151,274,RH.27578A9A85FA4A3Z0Z_F; RH.27578A9A85FA4A3Z0Z_R,RH.27578A9A85FA4A3Z0Z,2
M03520:605:000000000-LVNKY:1:1101:15367:1634,10043,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,100,113,209,RH.51338FA06EDB4F0Z0Z_F; RH.51338FA06EDB4F0Z0Z_R,RH.51338FA06EDB4F0Z0Z,2
M03520:605:000000000-LVNKY:1:1103:9463:11831,9922,A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,99.286,140,254,RH.E253263309B742FZ0Z_F; RH.E253263309B742FZ0Z_R,RH.E253263309B742FZ0Z,2
M03520:605:000000000-LVNKY:1:1101:27694:16041,9840,A00405_539_HLLNCDSX3_4_2539_10592_7811_10_293_-_001b4ede20b5ef9e875d65d6ece253c1,97.826,138,239,RH.DE543226C201437Z0Z_R; RH.51338FA06EDB4F0Z0Z_R,RH.DE543226C201437Z0Z; RH.51338FA06EDB4F0Z0Z,2
M03520:605:000000000-LVNKY:1:1101:12912:1783,9758,A00405_539_HLLNCDSX3_4_2176_13277_15969_1_228_-_fa02245ea39709aa9e38896a5193a093,100,123,228,RH.9726AFF14C0D4B3Z0Z_R; RH.9726AFF14C0D4B3Z0Z_F,RH.9726AFF14C0D4B3Z0Z,2
M03520:605:000000000-LVNKY:1:1101:24105:6902,9633,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,99.329,149,270,RH.B9EF730EBE6C436Z0Z_F; RH.B9EF730EBE6C436Z0Z_R,RH.B9EF730EBE6C436Z0Z,2
M03520:605:000000000-LVNKY:1:1108:7222:6625,9054,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,100,113,209,RH.51338FA06EDB4F0Z0Z_F; RH.51338FA06EDB4F0Z0Z_R,RH.51338FA06EDB4F0Z0Z,2
