target_id,sseqid,qseqid_F,pident_F,length_F,mismatch_F,gapopen_F,qstart_F,qend_F,sstart_F,send_F,evalue_F,bitscore_F,orientation_F,strand_F,pos_min_F,pos_max_F,qseqid_R,pident_R,length_R,mismatch_R,gapopen_R,qstart_R,qend_R,sstart_R,send_R,evalue_R,bitscore_R,orientation_R,strand_R,pos_min_R,pos_max_R,amplicon_dist
RH.78B83B8D6A224B1Z0Z,NZ_CP183331.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,106015,106036,7.59e-05,44.1,F,+,106015,106036,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,106149,106127,0.005,38.2,R,-,106127,106149,91
RH.78B83B8D6A224B1Z0Z,NZ_CP183332.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,3866313,3866292,7.59e-05,44.1,F,-,3866292,3866313,RH.78B83B8D6A224B1Z0Z_R,100,19,0,0,5,23,3866183,3866201,0.005,38.2,R,+,3866183,3866201,91
RH.78B83B8D6A224B1Z0Z,NZ_CP189825.1,RH.78B83B8D6A224B1Z0Z_F,100,22,0,0,1,22,64196,64217,7.59e-05,44.1,F,+,64196,64217,RH.78B83B8D6A224B1Z0Z_R,95.652,23,1,0,1,23,64330,64308,0.005,38.2,R,-,64308,64330,91
RH.A9EEDC62F48D4DAZ0Z,CP024201.1,RH.A9EEDC62F48D4DAZ0Z_F,94.737,19,1,0,1,19,2436100,2436082,0.98,30.2,F,-,2436082,2436100,RH.A9EEDC62F48D4DAZ0Z_R,95.238,21,1,0,1,21,2435965,2435985,0.063,34.2,R,+,2435965,2435985,97
RH.A9EEDC62F48D4DAZ0Z,NZ_CP024201.1,RH.A9EEDC62F48D4DAZ0Z_F,94.737,19,1,0,1,19,2436100,2436082,0.98,30.2,F,-,2436082,2436100,RH.A9EEDC62F48D4DAZ0Z_R,95.238,21,1,0,1,21,2435965,2435985,0.063,34.2,R,+,2435965,2435985,97
RH.C597F0BA65D4481Z0Z,CP048815.1,RH.C597F0BA65D4481Z0Z_F,100,19,0,0,6,24,20784,20766,0.006,38.2,F,-,20766,20784,RH.C597F0BA65D4481Z0Z_R,95.652,23,1,0,2,24,20680,20702,0.006,38.2,R,+,20680,20702,64
RH.C597F0BA65D4481Z0Z,NZ_CP048815.1,RH.C597F0BA65D4481Z0Z_F,100,19,0,0,6,24,20784,20766,0.006,38.2,F,-,20766,20784,RH.C597F0BA65D4481Z0Z_R,95.652,23,1,0,2,24,20680,20702,0.006,38.2,R,+,20680,20702,64
RH.D78133F7DC3D4EBZ0Z,CP082923.1,RH.D78133F7DC3D4EBZ0Z_F,90.909,22,2,0,1,22,4030189,4030210,4.5,28.2,F,+,4030189,4030210,RH.D78133F7DC3D4EBZ0Z_R,100,19,0,0,1,19,4030310,4030292,0.004,38.2,R,-,4030292,4030310,82
RH.D78133F7DC3D4EBZ0Z,CP096040.1,RH.D78133F7DC3D4EBZ0Z_F,90.909,22,2,0,1,22,4490168,4490189,4.5,28.2,F,+,4490168,4490189,RH.D78133F7DC3D4EBZ0Z_R,94.737,19,1,0,1,19,4490289,4490271,0.98,30.2,R,-,4490271,4490289,82
RH.D78133F7DC3D4EBZ0Z,NZ_CP082923.1,RH.D78133F7DC3D4EBZ0Z_F,90.909,22,2,0,1,22,4030189,4030210,4.5,28.2,F,+,4030189,4030210,RH.D78133F7DC3D4EBZ0Z_R,100,19,0,0,1,19,4030310,4030292,0.004,38.2,R,-,4030292,4030310,82
RH.D78133F7DC3D4EBZ0Z,NZ_CP096040.1,RH.D78133F7DC3D4EBZ0Z_F,90.909,22,2,0,1,22,4490168,4490189,4.5,28.2,F,+,4490168,4490189,RH.D78133F7DC3D4EBZ0Z_R,94.737,19,1,0,1,19,4490289,4490271,0.98,30.2,R,-,4490271,4490289,82
RH.FDEF34A308684D6Z0Z,CP048815.1,RH.FDEF34A308684D6Z0Z_F,90.909,22,2,0,2,23,20359,20338,5.8,28.2,F,-,20338,20359,RH.FDEF34A308684D6Z0Z_R,90,20,2,0,1,20,20198,20217,80,24.3,R,+,20198,20217,121
RH.FDEF34A308684D6Z0Z,CP096040.1,RH.FDEF34A308684D6Z0Z_F,90.909,22,2,0,2,23,5606337,5606358,5.8,28.2,F,+,5606337,5606358,RH.FDEF34A308684D6Z0Z_R,90,20,2,0,1,20,5606498,5606479,80,24.3,R,-,5606479,5606498,121
RH.FDEF34A308684D6Z0Z,NZ_CP048815.1,RH.FDEF34A308684D6Z0Z_F,90.909,22,2,0,2,23,20359,20338,5.8,28.2,F,-,20338,20359,RH.FDEF34A308684D6Z0Z_R,90,20,2,0,1,20,20198,20217,80,24.3,R,+,20198,20217,121
RH.FDEF34A308684D6Z0Z,NZ_CP096040.1,RH.FDEF34A308684D6Z0Z_F,90.909,22,2,0,2,23,5606337,5606358,5.8,28.2,F,+,5606337,5606358,RH.FDEF34A308684D6Z0Z_R,90,20,2,0,1,20,5606498,5606479,80,24.3,R,-,5606479,5606498,121
