qseqid,sample,pair_status,abundance,f_targets,r_targets,f_target_id,r_target_id,expected_sources,read_best_source_id,read_pident,read_length,mismatch,evalue,read_bitscore,qlen,matches_expected,read_coverage,classification
M03520:605:000000000-LVNKY:1:1105:9931:3694,sd7-3,chimera,1,RH.2467895ACA8347EZ0Z,RH.6403441BB3B54F9Z0Z,RH.2467895ACA8347EZ0Z,RH.6403441BB3B54F9Z0Z,A00405_539_HLLNCDSX3_4_1531_8052_30968_1_247_-_5862c2786ef295ff686230ae3a4b65f9; A00405_539_HLLNCDSX3_4_1154_22092_2957_1_260_-_631aa624976f1793d6f025c968587d2a,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1106:10605:5389,as30-3,matched_pair,3,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z,A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,99.338,151,1,3.96e-76,274,151,TRUE,1,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1106:12496:14876,as3-1,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1106:14542:5169,sd30-1,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1106:17202:18355,as30-2,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1106:18551:19962,sd7-3,matched_pair,1,RH.CA1E204B0C0842DZ0Z; RH.E04EE94198274F7Z0Z,RH.CA1E204B0C0842DZ0Z,RH.CA1E204B0C0842DZ0Z|RH.E04EE94198274F7Z0Z,RH.CA1E204B0C0842DZ0Z,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,99.338,151,1,3.96e-76,274,151,TRUE,1,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1106:20408:24165,as15-1,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1106:21042:24006,as10-3,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,98.276,116,2,5.27e-55,204,151,TRUE,0.768211920529801,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1106:21393:27993,as15-1,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,98.649,148,2,8.58e-73,263,151,TRUE,0.980132450331126,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1106:2259:12316,as7-1,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z,A00405_539_HLLNCDSX3_4_2273_12391_14716_1_280_+_dc9ad065389b151656592223aedc10ba,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1106:27591:11444,as15-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1106:7029:9621,sd10-2,matched_pair,1,RH.CF953F27F5674E1Z0Z,RH.CF953F27F5674E1Z0Z,RH.CF953F27F5674E1Z0Z,RH.CF953F27F5674E1Z0Z,A00405_539_HLLNCDSX3_4_2428_25979_27508_1_293_+_ea053f94656145d4f38e54ebc41708ef,A00405_539_HLLNCDSX3_4_2428_25979_27508_1_293_+_ea053f94656145d4f38e54ebc41708ef,99.206,126,1,3.13e-62,228,151,TRUE,0.834437086092715,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:11968:15597,as25-2,matched_pair,2,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,98.658,149,2,2.39e-73,265,151,TRUE,0.986754966887417,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:12202:6505,sd10-1,matched_pair,2,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,99.083,109,1,8.83e-53,196,151,TRUE,0.721854304635762,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:12212:18063,sd7-3,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,97.987,149,3,1.11e-71,259,151,TRUE,0.986754966887417,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:12625:11141,sd7-3,matched_pair,1,RH.0096A141894D447Z0Z,RH.0096A141894D447Z0Z,RH.0096A141894D447Z0Z,RH.0096A141894D447Z0Z,A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,98.675,151,2,1.84e-74,268,151,TRUE,1,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:12952:22350,sd7-1,matched_pair,2,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,97.248,109,3,1.91e-49,185,151,TRUE,0.721854304635762,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:13135:6383,as25-2,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:13520:5493,sd30-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,96.026,151,6,8.64e-68,246,151,TRUE,1,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:15575:2597,sd7-2,matched_pair,1,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,99.083,109,1,8.83e-53,196,151,TRUE,0.721854304635762,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:16617:4331,as10-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:17253:20344,sd3-1,matched_pair,1,RH.CA1E204B0C0842DZ0Z,RH.CA1E204B0C0842DZ0Z,RH.CA1E204B0C0842DZ0Z,RH.CA1E204B0C0842DZ0Z,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,99.167,120,1,6.77e-59,217,151,TRUE,0.794701986754967,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:18314:4211,as7-2,matched_pair,3,RH.CA1E204B0C0842DZ0Z,RH.CA1E204B0C0842DZ0Z,RH.CA1E204B0C0842DZ0Z,RH.CA1E204B0C0842DZ0Z,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,95.833,120,5,3.17e-52,195,151,TRUE,0.794701986754967,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:19397:27505,as3-1,matched_pair,1,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z,A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,98.611,144,2,1.44e-70,255,151,TRUE,0.95364238410596,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:19513:24186,as25-1,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,98.658,149,2,2.39e-73,265,151,TRUE,0.986754966887417,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:21292:17122,as20-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:21729:23143,as25-2,matched_pair,1,RH.77300263E6F14F3Z0Z,RH.77300263E6F14F3Z0Z,RH.77300263E6F14F3Z0Z,RH.77300263E6F14F3Z0Z,A00405_539_HLLNCDSX3_4_2633_32687_2550_1_213_-_733d30d25972308310143a09ef0da099,A00405_539_HLLNCDSX3_4_2633_32687_2550_1_213_-_733d30d25972308310143a09ef0da099,99.065,107,1,1.14e-51,193,151,TRUE,0.708609271523179,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:2285:14386,as15-2,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:22865:6401,as20-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:27471:10000,sd30-1,matched_pair,1,RH.2AFFFBA0E81C482Z0Z,RH.2AFFFBA0E81C482Z0Z,RH.2AFFFBA0E81C482Z0Z,RH.2AFFFBA0E81C482Z0Z,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,97.391,115,3,8.83e-53,196,151,TRUE,0.76158940397351,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:3190:13071,sd30-1,matched_pair,2,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,99.115,113,1,5.27e-55,204,151,TRUE,0.748344370860927,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:3344:9236,as10-3,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,97.279,147,4,6.68e-69,250,151,TRUE,0.973509933774834,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:4396:17051,sd3-2,matched_pair,1,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,99.115,113,1,5.27e-55,204,151,TRUE,0.748344370860927,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:4676:12172,sd20-2,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,97.987,149,3,1.11e-71,259,151,TRUE,0.986754966887417,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:7130:25308,as20-1,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,98.658,149,2,2.39e-73,265,151,TRUE,0.986754966887417,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1107:8457:5371,sd7-2,matched_pair,1,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,98.23,113,2,2.45e-53,198,151,TRUE,0.748344370860927,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1108:10400:25559,as15-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1108:15869:28699,as7-2,matched_pair,2,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,99.324,148,1,1.84e-74,268,151,TRUE,0.980132450331126,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1108:16297:26611,as20-2,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1108:16987:2337,as20-2,matched_pair,1,RH.BB24C5C404164F1Z0Z,RH.BB24C5C404164F1Z0Z,RH.BB24C5C404164F1Z0Z,RH.BB24C5C404164F1Z0Z,A00405_539_HLLNCDSX3_4_1336_21558_1532_1_283_-_9c65ca1efaa250c583597d0b1dd5745c,A00405_539_HLLNCDSX3_4_1336_21558_1532_1_283_-_9c65ca1efaa250c583597d0b1dd5745c,99.065,107,1,1.14e-51,193,151,TRUE,0.708609271523179,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1108:26166:15846,as3-3,matched_pair,2,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,106,0,8.83e-53,196,151,TRUE,0.701986754966887,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1108:26380:13031,as20-2,chimera,1,RH.07A081D839E34E7Z0Z,RH.44DCEC943BED412Z0Z,RH.07A081D839E34E7Z0Z,RH.44DCEC943BED412Z0Z,A00405_539_HLLNCDSX3_4_2168_32398_16892_1_287_+_4c997fab1c95be3b1789ce6a18d49b68; A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,98.718,78,1,1.51e-35,139,151,TRUE,0.516556291390729,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1108:2655:18485,sd20-2,matched_pair,1,RH.69CEA0AC39F4445Z0Z,RH.69CEA0AC39F4445Z0Z,RH.69CEA0AC39F4445Z0Z,RH.69CEA0AC39F4445Z0Z,A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,98.473,131,2,2.42e-63,231,151,TRUE,0.867549668874172,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1108:9886:19775,as15-1,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1109:11047:7221,as20-3,matched_pair,1,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z,A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,98.639,147,2,3.09e-72,261,151,TRUE,0.973509933774834,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1109:12470:12384,as3-3,chimera,1,RH.17B3832C9C1D403Z0Z,RH.B3BF5B8B809244BZ0Z,RH.17B3832C9C1D403Z0Z,RH.B3BF5B8B809244BZ0Z,A00405_539_HLLNCDSX3_4_1275_28999_6746_1_288_-_01746c8ccbff3ad2c4beef979ee1bde8; A00405_539_HLLNCDSX3_4_1664_16523_27101_1_264_-_3645ed6f02b5ac023bae1385c93611d5,,,,,,,,FALSE,,No whole-read match to any target
M03520:605:000000000-LVNKY:1:1109:13845:8131,as25-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z,A00405_539_HLLNCDSX3_4_2362_27326_33004_1_286_-_08920e28984ffda7ff0f37d186246d68; A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,A00405_539_HLLNCDSX3_4_1253_5231_9204_1_291_+_5232c331b3893acf7a55118f4673f3d0,95.455,44,2,5.58e-15,71.3,151,TRUE,0.291390728476821,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1109:14835:25988,as15-3,matched_pair,1,RH.0C6EF86AB29A422Z0Z,RH.0C6EF86AB29A422Z0Z,RH.0C6EF86AB29A422Z0Z,RH.0C6EF86AB29A422Z0Z,A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,98.305,118,2,4.08e-56,207,151,TRUE,0.781456953642384,Matches own primer's target (expected)
M03520:605:000000000-LVNKY:1:1109:16607:17583,as30-3,matched_pair,1,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z,A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,97.857,140,3,1.12e-66,243,151,TRUE,0.927152317880795,Matches own primer's target (expected)
